id,recipientId,senderId,tokens
121723,13765,16848,100
121912,14708,14710,100
122286,14709,14708,100
122308,14710,14709,100
122553,14715,14713,100
122585,14713,14715,100
124642,13655,13592,100
125191,13717,15423,100
126227,13570,14524,100
126228,13815,14525,100
126243,14730,15191,100
126244,14202,15192,100
126245,15416,15193,100
126246,14730,15194,100
126247,16668,15195,100
126248,13576,15196,100
126249,13578,15197,100
123578,16626,16625,99
123452,16625,16626,98
126241,15347,14527,80
125556,14231,14182,78
120663,14062,13648,64
121990,13765,15373,60
122822,15124,15153,60
124261,14407,14405,55
126226,15416,14523,54
126288,14504,14507,54
120837,15124,15140,53
121222,13641,14307,50
121249,13626,14522,50
121692,14066,15376,50
121746,13765,15376,50
121907,15124,15073,50
122386,15124,15156,50
122387,13579,15156,50
123001,13579,15523,50
123966,13579,14185,50
124221,15124,14223,50
124330,15498,14320,50
124929,13579,14157,50
125993,13641,16897,50
126272,14504,14508,50
126278,14504,14506,50
126311,14504,14505,50
121255,13649,14522,49
122452,13649,15378,45
124383,13579,15664,45
124387,15498,15664,45
124476,13611,15348,45
120788,13594,13645,40
120834,14202,15494,40
121251,13610,13570,40
121253,15153,13679,40
121386,13611,15426,40
121388,13765,15426,40
121393,13611,13662,40
123584,13654,15141,40
123591,13570,13610,40
124205,13655,15800,40
124282,13579,14728,40
124979,14231,14407,40
125137,13645,13594,40
124246,14405,14231,39
125630,14182,14231,38
120665,13611,13648,36
125537,14406,14408,35
125517,13658,14194,34
122692,13717,14167,33
125251,13573,15233,33
125253,13815,15233,33
125404,13626,13816,33
125405,14074,13816,33
125516,13765,14194,33
125521,15384,14194,33
125703,14429,14540,33
120848,13579,15494,30
120990,13591,13660,30
121010,14066,14532,30
121269,13577,13679,30
121288,13591,13679,30
121641,14707,15231,30
121694,13607,13814,30
121722,14526,14704,30
121725,13814,13578,30
121745,14522,14704,30
122175,13815,15073,30
122434,14062,14176,30
122451,14062,15378,30
123148,13579,14149,30
123267,14401,14429,30
123605,15379,13610,30
124011,13649,15800,30
124204,13717,15800,30
124259,14182,14405,30
124422,14062,15316,30
124423,13611,15316,30
124424,13765,15316,30
124528,13765,15348,30
123974,15124,14186,26
125526,13650,13573,26
125583,14429,14401,26
125702,14182,14540,26
120731,14067,15663,25
121011,13632,13597,25
121197,13682,13632,25
121203,13597,13632,25
121462,13626,13617,25
121463,13765,13617,25
121464,13815,13617,25
121465,14066,13617,25
121590,13632,13682,25
121607,13765,15418,25
121642,13600,15231,25
122431,15371,15378,25
123095,13654,13583,25
123769,13601,15876,25
124144,13717,13599,25
124146,13631,13599,25
124147,13601,13599,25
124265,13641,14199,25
124266,13626,14199,25
124267,13611,14199,25
124268,13579,14199,25
124511,14066,15348,25
124630,14401,14408,25
124700,14182,14408,25
125751,14401,15346,25
121290,13768,15134,23
125580,14430,14407,22
125678,14407,14406,22
126339,13601,14504,22
124647,14408,14401,21
125355,14307,13641,21
125652,14429,15354,21
120671,13579,15421,20
120699,13660,14072,20
120729,13622,14072,20
120742,13601,13673,20
120748,13768,14072,20
120778,14405,14442,20
120836,13573,15494,20
120853,13601,13672,20
120854,13815,13672,20
120969,15124,15421,20
121033,13626,13627,20
121041,13616,13627,20
121073,13676,14075,20
121139,13591,14072,20
121208,13677,15235,20
121209,13717,15235,20
121210,13579,15235,20
121211,13601,15235,20
121259,15379,13570,20
121273,13660,14307,20
121379,13654,13608,20
121387,14066,15426,20
121392,14074,13662,20
121441,13627,13616,20
121445,13626,13581,20
121608,13641,15351,20
121614,13611,15351,20
121734,13578,14704,20
121748,13607,14704,20
121751,13717,15119,20
121812,13588,13647,20
121840,13611,13629,20
122122,14066,15373,20
122132,13660,15373,20
122176,14559,15073,20
122403,13718,14075,20
122441,15371,14176,20
122506,13579,14434,20
122534,13646,14434,20
122616,13672,14434,20
122617,13673,14434,20
122641,15124,14167,20
122693,13579,14167,20
122963,13626,15225,20
122964,13768,15225,20
122978,14419,15315,20
122979,13815,15315,20
122981,13583,15315,20
123034,14170,13676,20
123263,14526,16584,20
123329,16584,14526,20
123428,13611,13652,20
123493,13627,13600,20
123495,14066,13600,20
123497,13616,13600,20
123566,15124,14329,20
123590,13579,14329,20
123623,13611,13610,20
123698,14703,15151,20
123724,13570,15379,20
123725,13610,15379,20
123772,13677,15311,20
124195,14059,14428,20
124263,15416,15230,20
124275,14062,14232,20
124285,14170,14728,20
124441,13591,13619,20
124444,13660,13619,20
124445,13655,13619,20
124561,14407,14540,20
124718,14429,14404,20
124872,13660,13591,20
124943,13624,15230,20
124946,13581,15380,20
124947,13626,15380,20
124948,13627,15380,20
124950,13616,15380,20
124962,13579,14165,20
125073,13601,14226,20
125279,14408,14416,20
125280,14430,14416,20
125284,13601,13666,20
125288,15384,13666,20
125290,14231,14417,20
125371,13570,13661,20
125372,14170,13661,20
125381,13815,13603,20
125383,14307,13603,20
125447,13626,15224,20
125448,14074,15224,20
125450,14703,15224,20
125568,14066,14060,20
125651,14182,15354,20
125876,14401,14414,20
125885,14408,14414,20
125894,15428,14414,20
125992,13662,16897,20
126253,13601,15311,20
126292,14062,16898,20
126340,14062,14504,20
121213,13765,15235,19
121282,13589,15134,19
125613,14182,14404,19
125958,14401,14426,19
126239,15153,14527,19
126252,13611,15311,19
124208,13652,16616,18
125304,13633,14402,18
124272,13853,14232,17
125679,14408,14406,17
125681,14429,14406,17
120723,13626,14192,16
120734,13765,14192,16
120957,13815,14532,16
121822,13576,14523,16
125311,13596,14192,16
125403,13654,13816,16
125891,14430,14414,16
126334,13649,14504,16
120701,13717,14192,15
120704,13626,14157,15
120707,13649,14157,15
120782,14406,14429,15
120991,13622,13660,15
121042,13682,13597,15
121217,13765,14065,15
121270,13611,14307,15
121286,14869,15134,15
121289,13587,15134,15
121371,13678,13608,15
121376,14062,13608,15
121472,13647,16616,15
121557,13583,15232,15
121564,13654,15232,15
121594,13597,13682,15
121638,14202,15231,15
121639,13572,15231,15
121640,15117,15231,15
121752,13767,15119,15
121761,13591,13622,15
121763,13660,13622,15
121777,13815,13647,15
121817,13601,13647,15
121928,15371,13606,15
122612,14074,14706,15
122977,13902,15315,15
122980,14066,15315,15
123090,13629,13583,15
123097,13765,13583,15
123239,13601,13646,15
123418,14405,15428,15
123419,14407,15428,15
123420,14408,15428,15
123609,13579,15501,15
123628,13682,15876,15
123647,13611,15876,15
123779,13610,15876,15
124283,13768,14728,15
124328,15445,14320,15
124329,13673,14320,15
124396,13717,15371,15
124397,14772,15371,15
124398,13765,15371,15
124402,15384,16616,15
124439,13664,13619,15
124578,13717,13684,15
124621,15384,14067,15
124645,14182,14401,15
124704,14430,14429,15
124907,13622,13591,15
125071,14231,14430,15
125169,14231,14413,15
125172,14429,14413,15
125173,14430,14413,15
125310,13579,14192,15
125369,13633,13661,15
125445,13853,15224,15
125449,15381,15224,15
125507,14182,14430,15
125569,13631,14060,15
125570,13717,14060,15
125582,14407,14401,15
125676,14182,14406,15
125904,14405,14416,15
125905,14182,14416,15
125920,14401,14417,15
125949,14430,14418,15
125950,14182,14418,15
125951,14429,14418,15
125994,15500,16897,15
125995,15371,16897,15
126001,14408,14442,15
126012,15428,14442,15
126047,14405,15353,15
126277,14062,14508,15
126285,14062,14506,15
126289,13767,16898,15
126333,13659,14504,15
125364,13717,13661,14
121032,13581,13627,13
125967,14408,14426,13
126048,14406,15353,13
126052,14182,15353,13
121781,14730,14523,12
122498,13767,13659,12
123042,13611,14173,12
123110,13611,13651,12
123143,15124,14149,12
123250,14062,13646,12
123434,14170,13652,12
125199,14062,13664,12
125307,14157,14402,12
125733,14406,14430,12
121331,14202,15128,11
122129,14503,15485,11
122430,14329,15485,11
122958,13717,15137,11
124315,13579,15155,11
124789,14405,15354,11
125610,14407,14404,11
125611,14408,14404,11
125649,14407,15354,11
125650,14408,15354,11
126266,15430,14174,11
126267,15117,14174,11
120668,15124,14712,10
120672,13767,15421,10
120673,14304,13657,10
120676,13601,15421,10
120683,13604,14306,10
120705,13673,14157,10
120706,15124,14157,10
120711,14231,14418,10
120712,14406,14418,10
120713,14407,14418,10
120714,14408,14418,10
120720,13624,15152,10
